MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41,6.9841,1.0238,322,2.5556,37.88,-122.23,4.526
8.3014,21,6.2381,0.9719,2401,2.1098,37.86,-122.22,3.585
7.2574,52,8.2881,1.0734,496,2.8023,37.85,-122.24,3.521
5.6431,52,5.8174,1.0731,558,2.5479,37.85,-122.25,3.413
3.8462,52,6.2819,1.0811,565,2.1815,37.85,-122.25,3.422
4.0368,52,4.7617,1.1036,413,2.1399,37.85,-122.25,2.697
3.6591,52,4.9319,1.1036,1094,2.1284,37.84,-122.26,2.992
3.12,42,4.7975,1.0248,1157,1.7883,37.84,-122.26,2.414
2.0804,52,4.2941,1.1176,1206,2.0269,37.84,-122.27,2.267
3.6912,52,4.9706,0.9902,1551,2.1723,37.84,-122.27,2.611
3.2031,42,5.0806,1.02,980,2.3,37.83,-122.28,2.45
3.2705,52,4.8345,1.08,1100,2.12,37.83,-122.28,2.3
3.075,52,4.8269,1.065,1400,2.45,37.82,-122.29,2.1
2.6736,52,4.12,1.09,870,2.01,37.82,-122.3,1.98
1.9167,52,4.0541,1.12,920,2.22,37.81,-122.3,1.85
2.125,50,4.3214,1.03,1010,2.18,37.81,-122.31,1.92
2.775,52,5.112,1.04,1230,2.36,37.8,-122.32,2.05
2.1202,40,4.6789,1.05,1125,2.14,37.8,-122.33,2.12
1.9911,34,4.5023,1.06,980,2.27,37.79,-122.34,1.99
2.6033,36,5.2101,1.01,1340,2.31,37.79,-122.35,2.25
